scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11650,Mjz'ah bin Zahr bin al-Aswad,مجزأة بن زاهر,Follower(Tabi') [4th generation],0,0,al-Kufa,"20311, 25246, 11626, 20587","4075, 5115, 5308"
11651,Mhl bin Khlyfh al-Ta'iy al-Kwfy,محل بن خليفة,Follower(Tabi') [4th generation],0,0,al-Kufa,"11628, 25357, 20020, 20012",212
11652,Makhariq bin Khalifa/'Abdullah,مخارق بن خليفة,Follower(Tabi') [6th generation],0,0,al-Kufa,"20311, 25062, 20587, 12327, 20012, 20005",3680
11653,"Muslim bin Salm al-Nahdi, Abu Farwa",مسلم بن سالم النهدي أبو فروة,Follower(Tabi') [6th generation],0,0,al-Kufa,"25041, 20020, 11718, 20322, 20469, 20256","10786, 11196, 19878, 10787, 10805, 15313"
11654,Ma'mr bin Yahya bin Sam,معمر بن يحيى بن سام,Follower(Tabi') [6th generation],0,0,al-Kufa,"20032, 20318, 20348","11442, 19508"
11655,al-Mughira bin al-Nu'man al-Nakha'i ا,لمغيرة بن النعمان النخعي الكوفي,Follower(Tabi') [6th generation],0,0,al-Kufa,"20020, 20012, 20359, 25221, 20587, 28688","11050, 11263, 29549"
11656,al-Minhal bin 'Amr al-Asadi ا,لمنهال بن عمرو الأسدي مولاهم الكوفي,Follower(Tabi') [5th generation],0,0,al-Kufa,"20727, 11060, 20580, 11067, 10957, 11605, 11191, 20020, 25322, 20728, 15397, 20726, 15097","11337, 18510, 14457, 11174, 10600, 15681, 11050, 11376, 11028, 11196, 15265, 10504"
11657,Mhajr Abu al-Hasan al-Tymy,مهاجر أبو الحسن التيمي,Follower(Tabi') [4th generation],0,0,al-Kufa,"20020, 20012, 15407, 20359, 20358, 20587, 20469","400, 17, 11382, 11341, 11353"
11658,Maysrah bin 'Ammar al-Ashja'i,ميسرة بن عمار / تمام الأشجعي,Follower(Tabi') [6th generation],0,0,al-Kufa,"20012, 20320, 20321, 20643, 25229","11349, 11113, 11002, 11023"
11659,al-Nazal bin Sabra ا,لنزال بن سبرة,Follower(Tabi') [2nd Generation],0,0,al-Kufa,,"4, 5, 16"
11660,Hzyl bin Shrhbyl al-Awdy al-Kwfy,هزيل بن شرحبيل,Follower(Tabi') [1st Generation],0,0,al-Kufa,"11049, 11637, 11356, 18171, 11381","4, 5, 9, 16, 23, 35, 172, 18, 11018"
11661,Hilal bin Abi Hameed,هلال بن أبي حميد الوزان,Follower(Tabi') [6th generation],0,0,al-Kufa,"20359, 20311, 20580, 20469, 20587, 20005, 20346","10786, 11196, 10511"
